Project,Class,Pattern
jackrabbit,jackrabbit-jcr-commons.src.main.java.org.apache.jackrabbit.commons.repository.SingletonRepositoryFactory,Singleton
java-patterns,src.main.java.org.abqjug.javapatterns.abstractfactory.classic.MySQLRegistrationDAOFactory,AbstractFactory
java-patterns,src.main.java.org.abqjug.javapatterns.abstractfactory.cleaner.MySQLRegistrationDAOFactory,AbstractFactory
java-patterns,src.main.java.org.abqjug.javapatterns.abstractfactory.classic.OracleRegistrationDAOFactory,AbstractFactory
java-patterns,src.main.java.org.abqjug.javapatterns.abstractfactory.cleaner.OracleRegistrationDAOFactory,AbstractFactory
java-patterns,src.main.java.org.abqjug.javapatterns.abstractfactory.classic.RegistrationDAOAbstractFactory,AbstractFactory
java-patterns,src.main.java.org.abqjug.javapatterns.abstractfactory.classic.RegistrationDAOFactory,AbstractFactory
java-patterns,src.main.java.org.abqjug.javapatterns.abstractfactory.cleaner.RegistrationDAOFactory,AbstractFactory
JavaDesignPatternExercises,src.TextEditor.Memento,Memento
JavaDesignPatternExercises,src.TextEditor.IMemento,Memento
JavaDesignPatternExercises,src.TextEditor.IObserver,Observer
JavaDesignPatternExercises,src.TextEditor.ISubject,Observer
javassist,src.main.javassist.tools.rmi.Proxy,Proxy
javassist,src.main.javassist.util.proxy.Proxy,Proxy
jbehave-core,examples.trader-weld.src.main.java.org.jbehave.examples.trader.weld.InheritingAnnotatedEmbedderUsingSteps,None
jbehave-core,examples.trader-guice.src.main.java.org.jbehave.examples.trader.guice.InheritingAnnotatedEmbedderUsingSteps,None
jbehave-core,examples.trader-pico.src.main.java.org.jbehave.examples.trader.pico.InheritingAnnotatedEmbedderUsingSteps,None
jbehave-core,examples.trader-spring.src.main.java.org.jbehave.examples.trader.spring.InheritingAnnotatedEmbedderUsingSteps,None
jbehave-core,examples.gameoflife.src.main.java.com.lunivore.gameoflife.domain.GameObserver,Observer
jbehave-core,examples.noughtsandcrosses.src.main.java.com.lunivore.noughtsandcrosses.game.GameObserver,Observer
jbehave-core,jbehave-weld.src.main.java.org.jbehave.core.steps.weld.WeldStepsFactory,Singleton
jbehave-core,jbehave-weld.src.main.java.org.jbehave.core.steps.weld.WeldStepsFactory,AbstractFactory
kodejava,spring-sample.src.main.java.org.kodejava.example.spring.Singleton,Singleton
kodejava,core-sample.src.main.java.org.kodejava.example.pattern.factory.Singleton,Singleton
lyo.rio,OSLC4JChangeManagement.src.org.eclipse.lyo.oslc4j.changemanagement.servlet.ServiceProviderSingleton,Singleton
lyo.rio,OSLC4JQualityManagement.src.org.eclipse.lyo.oslc4j.qualitymanagement.servlet.ServiceProviderSingleton,Singleton
lyo.rio,OSLC4JAutomation.src.org.eclipse.lyo.oslc4j.automation.servlet.ServiceProviderSingleton,Singleton
magic-config,src.main.java.org.bluemagic.config.factory.DecoratorFactoryImpl,Decorator
magic-config,src.main.java.org.bluemagic.config.factory.DecoratorFactoryImpl,FactoryMethod
maven-3,maven-core.src.main.java.org.apache.maven.toolchain.java.DefaultJavaToolchainFactory,FactoryMethod
maven-3,maven-compat.src.main.java.org.apache.maven.artifact.repository.ArtifactRepositoryFactory,FactoryMethod
modapi,src.org.ironchefpython.modapi.Prototype,Prototype
MPS,core.generator.source.jetbrains.mps.generator.impl.cache.MappingsMemento,Memento
OneSwarm,oneswarm_gwt_ui.gwt_incubator_minimal.com.google.gwt.libideas.resources.client.impl.ExternalTextResourcePrototype,Prototype
OneSwarm,oneswarm_gwt_ui.gwt_incubator_minimal.com.google.gwt.libideas.resources.client.impl.ImageResourcePrototype,Prototype
OneSwarm,oneswarm_gwt_ui.gwt_incubator_minimal.com.google.gwt.libideas.resources.client.ResourcePrototype,Prototype
osate2-core,org.osate.aadl2.src.org.osate.aadl2.impl.ComponentPrototypeImpl,Prototype
pcgen-svn,code.src.java.pcgen.core.facade.InfoFactory,Facade
pcgen-svn,code.src.java.pcgen.system.FacadeFactory,Facade
pcgen-svn,code.src.java.pcgen.gui.utils.ShowMessageGuiObserver,Observer
pcgen-svn,code.src.java.pcgen.gui2.util.ShowMessageGuiObserver,Observer
pellet,pellet-common.src.main.java.com.clarkparsia.pellet.rules.builtins.NumericComparisonVisitor,Visitor
pellet,pellet-owlapi.src.main.java.org.mindswap.pellet.owlapi.PelletVisitor,Visitor
pellet,pellet-owlapiv3.src.main.java.com.clarkparsia.pellet.owlapiv3.PelletVisitor,Visitor
platform,components.bam-data-publishers.org.wso2.carbon.bam.data.publisher.activity.mediation.src.main.java.org.wso2.carbon.bam.data.publisher.activity.mediation.ActivityMediationStatisticsObserver,Observer
platform,components.data-agents.org.wso2.carbon.bam.activity.mediation.data.publisher.src.main.java.org.wso2.carbon.bam.activity.mediation.data.publisher.observer.ActivityMediationStatisticsObserver,Observer
platform,components.business-processes.bpel.org.wso2.carbon.bpel.src.main.java.org.wso2.carbon.bpel.core.Axis2ConfigurationContextObserverImpl,Observer
platform,components.business-processes.humantask.org.wso2.carbon.humantask.src.main.java.org.wso2.carbon.humantask.core.Axis2ConfigurationContextObserverImpl,Observer
platform,components.messagebox.org.wso2.carbon.messagebox.core.src.main.java.org.wso2.carbon.messagebox.internal.builder.Axis2ConfigurationContextObserverImpl,Observer
platform,components.broker-manager.org.wso2.carbon.brokermanager.core.src.main.java.org.wso2.carbon.brokermanager.core.internal.build.Axis2ConfigurationContextObserverImpl,Observer
platform,components.stratos.throttling.org.wso2.carbon.throttling.agent.src.main.java.org.wso2.carbon.throttling.agent.cache.Axis2ConfigurationContextObserverImpl,Observer
platform,components.cep.org.wso2.carbon.cep.core.src.main.java.org.wso2.carbon.cep.core.internal.builder.Axis2ConfigurationContextObserverImpl,Observer
platform,components.bam-data-publishers.org.wso2.carbon.bam.data.publisher.mediationstats.src.main.java.org.wso2.carbon.bam.data.publisher.mediationstats.observer.BAMMediationStatisticsObserver,Observer
platform,components.data-agents.org.wso2.carbon.bam.mediationstats.data.publisher.src.main.java.org.wso2.carbon.bam.mediationstats.data.publisher.observer.BAMMediationStatisticsObserver,Observer
platform,components.bam-data-publishers.org.wso2.carbon.bam.lwevent.core.src.main.java.org.wso2.carbon.bam.lwevent.core.internal.ServiceStatisticsAxis2ConfigurationContextObserver,Observer
platform,components.bam-data-publishers.org.wso2.carbon.bam.data.publisher.servicestats.src.main.java.org.wso2.carbon.bam.data.publisher.servicestats.internal.ServiceStatisticsAxis2ConfigurationContextObserver,Observer
platform,components.data-agents.org.wso2.carbon.bam.service.data.publisher.src.main.java.org.wso2.carbon.bam.service.data.publisher.internal.ServiceStatisticsAxis2ConfigurationContextObserver,Observer
platform_frameworks_base,core.java.android.util.Singleton,Singleton
playorm,input.javasrc.com.alvazan.test.FactorySingleton,Singleton
prevayler,extras.memento.src.main.java.org.prevayler.util.memento.Memento,Memento
protoj,src.main.java.com.headius.protoj.Prototype,Prototype
rap,bundles.org.eclipse.rap.ui.cheatsheets.src.org.eclipse.ui.internal.cheatsheets.state.MementoStateManager,Memento
rap,bundles.org.eclipse.rap.ui.workbench.Eclipse UI.org.eclipse.ui.XMLMemento,Memento
rap,bundles.org.eclipse.rap.ui.workbench.Eclipse UI.org.eclipse.ui.internal.util.ConfigurationElementMemento,Memento
s4,s4-core.src.main.java.org.apache.s4.message.PrototypeRequest,Prototype
sample-projects,jsf2-jetty-maven.src.main.java.sh.app.sample_projects.jsf2_jetty_maven.Visitor,Visitor
sample-projects,jsf2-cdi-jetty-maven.src.main.java.sh.app.sample_projects.jsf2_cdi_jetty_maven.Visitor,Visitor
spring-social-twitter,spring-social-twitter.src.main.java.org.springframework.social.twitter.api.PlacePrototype,Prototype
sshj,src.main.java.net.schmizz.sshj.transport.random.SingletonRandomFactory,Singleton
SWE12-Drone,catroid.src.at.tugraz.ist.catroid.ui.adapter.PrototypeBrickAdapter,Adapter
SWE12-Drone,catroid.src.at.tugraz.ist.catroid.ui.adapter.PrototypeBrickAdapter,Prototype
swing-mvc-demo,src.main.java.org.karpukhin.swingmvcdemo.ui.main.MainModelObserver,Observer
TapIt-Android-SDK-Source,appcelerator.build.generated.java.com.tapit.AlertAdProxyPrototype,Prototype
TapIt-Android-SDK-Source,appcelerator.build.generated.java.com.tapit.AlertAdProxyPrototype,Proxy
TapIt-Android-SDK-Source,appcelerator.build.generated.java.com.tapit.BannerViewProxyPrototype,Prototype
TapIt-Android-SDK-Source,appcelerator.build.generated.java.com.tapit.BannerViewProxyPrototype,Proxy
TapIt-Android-SDK-Source,appcelerator.build.generated.java.com.tapit.InterstitialAdProxyPrototype,Prototype
TapIt-Android-SDK-Source,appcelerator.build.generated.java.com.tapit.InterstitialAdProxyPrototype,Proxy
wayback,wayback-core.src.main.java.org.archive.wayback.memento.MementoReplayRendererDecorator,Decorator
wayback,wayback-core.src.main.java.org.archive.wayback.memento.MementoReplayRendererDecorator,Memento
wayback,wayback-core.src.main.java.org.archive.wayback.replay.html.ReplayParseEventDelegatorVisitor,Visitor
Akka-JavaEE6-Integracia,JavaAkkaGlassFish.JavaAkkaGlassFish-war.src.java.cz.muni.fi.akka.SumSingleton,Singleton
Akka-JavaEE6-Integracia,AkkaJavaIntegration.src.cz.muni.fi.akka.SumSingleton,Singleton
AllBinary-Platform,j2me.games.GameScoresBaseJ2MELibrary.src.allbinary.game.score.HighScoreNamePersistanceSingleton,Singleton
AllBinary-Platform,j2me.games.GameScoresBaseHTMLLibrary.src.allbinary.game.score.HighScoreNamePersistanceSingleton,Singleton
arquillian-extension-persistence,int-tests.src.test.java.org.jboss.arquillian.integration.persistence.testextension.event.EventObserver,Observer
arquillian-extension-persistence,int-tests-testng.src.test.java.org.jboss.arquillian.integration.persistence.testextension.event.EventObserver,Observer
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ReflectiveStatementInterceptorAdapter,Adapter
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.V1toV2StatementInterceptorAdapter,Adapter
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.Statement,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.AssertionFailedException,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.BestResponseTimeBalanceStrategy,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.Blob,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.BlobFromLocator,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.CachedResultSetMetaData,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.CallableStatement,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.CharsetMapping,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.Clob,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.CommunicationsException,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.CompressedInputStream,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ConnectionFeatureNotAvailableException,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ConnectionGroup,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ConnectionGroupManager,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ConnectionImpl,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ConnectionProperties,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ConnectionPropertiesImpl,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ConnectionPropertiesTransform,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.DatabaseMetaData,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.DatabaseMetaDataUsingInfoSchema,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.DocsConnectionPropsHelper,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.EscapeProcessor,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.ExportControlled,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.Field,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.integration.jboss.ExtendedMysqlExceptionSorter,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.integration.jboss.MysqlValidConnectionChecker,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.IterateBlock,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.jdbc2.optional.JDBC4MysqlPooledConnection,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.jdbc2.optional.JDBC4MysqlXAConnection,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.jdbc2.optional.JDBC4SuspendableXAConnection,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.jdbc2.optional.MysqlConnectionPoolDataSource,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.jdbc2.optional.MysqlDataSource,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.jdbc2.optional.MysqlXAConnection,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.jdbc2.optional.MysqlXADataSource,None
ChenSun,CS5430.src.server.SocialNetworkDBAThread,None
ChenSun,CS5430.src.server.SocialNetworkNavigation,None
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.FailoverConnectionProxy,Proxy
ChenSun,CS5430.jars.mysql-connector-java-5.1.18.src.com.mysql.jdbc.LoadBalancingConnectionProxy,Proxy
cw-omnibus,EmPubLite.T14-Database.src.com.commonsware.empublite.ContentsAdapter,Adapter
hbase,hbase-hadoop2-compat.src.main.java.org.apache.hadoop.hbase.thrift.metrics.ThriftServerMetricsSourceFactoryImpl,FactoryMethod
ocl,plugins.org.eclipse.ocl.src.org.eclipse.ocl.expressions.ExpressionsFactory,AbstractFactory
ocl,plugins.org.eclipse.ocl.src.org.eclipse.ocl.expressions.impl.ExpressionsFactoryImpl,AbstractFactory
openejb,openejb.container.openejb-core.src.main.java.org.apache.openejb.core.singleton.SingletonContainer,Singleton
pmd,pmd.src.main.java.net.sourceforge.pmd.lang.java.ast.DumpFacade,Facade
pmd,pmd.src.main.java.net.sourceforge.pmd.lang.xml.ast.DumpFacade,Facade
pmd,pmd.src.main.java.net.sourceforge.pmd.lang.ecmascript.ast.DumpFacade,Facade
pmd,pmd.src.main.java.net.sourceforge.pmd.lang.jsp.ast.DumpFacade,Facade
